views/60d  langs   ngram  letters  status   title
---------  -----  ------  -------  -------  ----------------------------------------
  301,862    144                9  kept     Minecraft
  301,436    148               12  kept     Statue of Liberty
  301,036     85                4  kept     Avicii
  300,669     82               10  kept     Ridley Scott
  300,608    112                9  kept     Jimi Hendrix
  300,412    154                2  kept     ABBA
  299,624     70               13  kept     Inglourious Basterds
  299,047     77                9  kept     Marilyn Manson
  297,575     64                5  kept     Rocky
  296,483     13                5  kept     She-Ra
  295,166    115                9  kept     Marcus Aurelius
  294,154     79               14  kept     The Walking Dead (TV series)
  293,854     75               13  kept     The Office (American TV series)
  293,838     72               16  kept     Academy Award for Best Picture
  293,252    177               10  kept     Walt Disney
  293,229     67                7  kept     Ron Howard
  292,491    140                9  kept     J. K. Rowling
  291,985     65                8  kept     Jaws (film)
  290,564     78                6  kept     Cardi B
  290,396     80                5  kept     Nymph
  289,349     50               14  kept     Close Encounters of the Third Kind
  289,262     74               10  kept     John Williams
  287,908     53                9  kept     Better Call Saul
  287,096    145                9  kept     Andy Warhol
  286,766    139                9  kept     Academy Awards
  286,676    116                4  kept     Adele
  286,249     70                7  kept     The Weeknd
  286,007    122                7  kept     Shah Rukh Khan
  285,093     68               12  kept     Paris (mythology)
  284,300     39               12  kept     Outlander (TV series)
  284,259     87               11  kept     Samuel L. Jackson
  284,093     51                8  kept     Heat (1995 film)
  282,978    144                7  kept     Celine Dion
  280,301     63               13  kept     Harry Potter (film series)
  280,299    134                8  kept     Harry Potter
  279,976     75                9  kept     Steve McQueen
  279,340     51                5  kept     Get Out
  279,179     65               13  kept     Supernatural (American TV series)
  277,478    178                7  kept     Queen (band)
  277,072    242               10  kept     Leonardo da Vinci
  274,505    103               10  kept     Anthony Hopkins
  274,460     87                6  kept     One Piece
  274,243     44                9  REMOVED  O Brother, Where Art Thou?
  273,755     88                7  kept     Ed Sheeran
  273,485     56                9  kept     Steve Martin
  271,175     91               11  kept     Francis Ford Coppola
  270,805     92                7  kept     Friends
  270,769     86                8  kept     The Matrix
  270,748    163               10  kept     Greek alphabet
  269,727     58               10  kept     Good Will Hunting
  269,562    186               10  kept     Fyodor Dostoevsky
  268,867     72                7  kept     Oasis (band)
  268,231     79                9  kept     The Beach Boys
  268,131     79                8  kept     2001: A Space Odyssey
  266,345    102               10  kept     Aretha Franklin
  263,330     89                5  kept     Pixar
  262,618    115                9  kept     Spider-Man
