rank	views_60d	status	title
319	243209	kept	Oscar Wilde
320	243008	kept	Gregory Peck
321	242844	kept	Schindler's List
322	242629	kept	Rockstar Games
323	242474	kept	Minions (film)
324	242341	kept	Björk
325	240545	kept	Lilo & Stitch
326	240413	kept	Anime
327	239588	kept	Christina Aguilera
328	239200	kept	Modern Family
329	238745	kept	Blade Runner 2049
330	238651	kept	Fight Club
331	238521	kept	Zeus
332	237774	kept	Agatha Christie
333	237748	kept	ER (TV series)
334	237121	kept	Legally Blonde
335	237007	kept	Eyes Wide Shut
336	236770	kept	One Direction
337	236226	kept	James Bond
338	236161	kept	Franz Kafka
339	235780	kept	Hamilton (musical)
340	234882	kept	It's Always Sunny in Philadelphia
341	234719	kept	Stan Lee
342	233100	kept	Ray Charles
343	232950	kept	Bridgerton
344	232540	kept	Inferno (Dante)
345	232246	kept	Bad (album)
346	231178	kept	Guns N' Roses
347	230079	kept	Studio Ghibli
348	230014	kept	George Orwell
349	228465	kept	Fargo (TV series)
350	228259	kept	Sigmund Freud
351	228255	kept	Homeland (TV series)
352	228045	kept	Pulp Fiction
353	228036	kept	Aeneid
354	227909	kept	Arrival (film)
355	227735	kept	Iron Maiden
356	227470	kept	Humphrey Bogart
357	227234	kept	Ulysses (novel)
358	227002	kept	Kendrick Lamar
359	226586	kept	The Notorious B.I.G.
360	226496	kept	Everything Everywhere All at Once
361	226476	kept	Despicable Me
362	226407	kept	Alice Cooper
363	226400	kept	Ian Fleming
364	226026	kept	The Last of Us (TV series)
365	225933	kept	Robin Hood
366	225380	kept	Lawrence of Arabia (film)
367	225104	kept	Epic of Gilgamesh
368	224640	kept	Ayn Rand
369	224355	kept	David Fincher
370	223447	kept	Buffy the Vampire Slayer
371	223071	kept	Miles Davis
372	223063	kept	House (TV series)
373	222315	kept	Grand Theft Auto: San Andreas
374	222290	kept	The Departed
375	222124	kept	Dark (TV series)
376	221789	kept	Antonio Banderas
377	221636	kept	Hans Zimmer
378	221430	kept	The Truman Show
379	221210	kept	Katharine Hepburn
380	220529	kept	Cars (film)
381	220462	kept	Denis Villeneuve
382	220253	kept	The X-Files
383	219998	kept	James Dean
384	219658	kept	Depeche Mode
385	219424	kept	Taj Mahal
386	219074	kept	Tim Burton
387	218214	kept	Man of Steel (film)
388	218189	kept	The Social Network
389	217803	kept	Antoni Gaudí
390	217790	kept	Burj Khalifa
391	216859	kept	Gilmore Girls
392	216765	kept	The Handmaid's Tale
393	216156	kept	Area 51
394	215724	kept	Skyfall
395	215606	kept	The Wolf of Wall Street (2013 film)
396	215165	kept	Spider-Man: Into the Spider-Verse
397	215014	kept	Language
398	214313	kept	Nirvana (band)
399	213883	kept	Seven (1995 film)
400	213748	kept	The Lord of the Rings
401	213619	kept	Alfred Hitchcock
402	213401	kept	Wes Anderson
403	213097	kept	Raiders of the Lost Ark
404	212679	kept	Casablanca (film)
405	212248	kept	Forrest Gump
406	211833	kept	Sophia Loren
407	211538	kept	Attack on Titan
408	211498	kept	Taxi Driver
409	211439	kept	Edgar Allan Poe
410	211284	kept	True Detective
411	209823	kept	Curb Your Enthusiasm
412	209335	kept	Grogu
413	209024	kept	The Green Mile (film)
414	208430	kept	Black Mirror
415	207915	kept	Mark Twain
416	207748	kept	Deep Purple
417	206431	kept	Stonehenge
418	206046	kept	Indiana Jones
419	205582	kept	Frank Zappa
420	205553	kept	Ice Cube
421	204731	kept	Apollo
422	204711	kept	King Arthur
423	204205	kept	Bill Murray
424	204007	kept	Blackpink
425	203832	kept	Jurassic Park (franchise)
426	203487	kept	The Witcher (TV series)
427	203408	kept	The Terminator
428	202665	kept	Spirited Away
429	202558	kept	Calvin Klein
430	202498	kept	Catch Me If You Can
431	201862	kept	Radiohead
432	201809	kept	Jimmy Page
433	201293	kept	Marvin Gaye
434	200973	kept	Pompeii
435	200921	kept	Sherlock Holmes
436	200702	kept	Sofia Coppola
437	200605	kept	Alice in Chains
438	200502	kept	Ludwig van Beethoven
439	200492	kept	Buddhism
440	200134	kept	Roswell incident
441	199511	kept	Muse (band)
442	199258	kept	The Shining (film)
443	199088	kept	Jean-Michel Basquiat
444	198932	kept	Malcolm in the Middle
445	198847	kept	Family Guy
446	198338	kept	The Mummy (1999 film)
447	197984	kept	Bermuda Triangle
448	197761	kept	Dexter (TV series)
449	197686	kept	Carl Jung
450	197325	kept	Terminator 2: Judgment Day
451	197270	kept	King of the Hill
452	197151	kept	Red Dead Redemption 2
453	197083	kept	Yukio Mishima
454	196945	kept	New 7 Wonders of the World
455	196938	kept	Andrea Bocelli
456	196858	kept	C. S. Lewis
457	196767	kept	Dune (novel)
458	196688	kept	Beastie Boys
459	196568	kept	The Strokes
460	196059	kept	The Silence of the Lambs (film)
461	195990	kept	Joni Mitchell
462	195561	kept	James Brown
463	194992	kept	Backstreet Boys
464	194864	kept	Buddy Holly
465	194595	kept	Great Wall of China
466	194387	kept	Kiss (band)
467	194224	kept	Spotify
468	194014	kept	Abbey Road
469	193697	kept	Apocalypse Now
470	193361	kept	Wu-Tang Clan
471	193276	kept	Stand by Me (film)
472	193275	kept	Foo Fighters
473	193224	kept	Socrates
474	192995	kept	Black Sabbath
475	192952	kept	Barbie (film)
476	192403	kept	Requiem for a Dream
477	192378	kept	La La Land
478	192203	kept	Aristotle
479	192139	kept	Goodfellas
480	191997	kept	Marina Abramović
481	191904	kept	The Prodigy
482	191723	kept	Nick Cave
483	191687	kept	Jumanji (film)
484	190680	kept	Parasite (2019 film)
485	190670	kept	Michael Crichton
486	190279	kept	Sylvia Plath
487	190274	kept	Van Halen
488	189996	kept	Mont-Saint-Michel
489	189862	kept	Seinfeld
490	189753	kept	Machu Picchu
491	189717	kept	Neon Genesis Evangelion
492	189282	kept	Cormac McCarthy
493	188744	kept	Don Quixote
494	188121	kept	Top Gun
495	187759	kept	Sia
496	187680	kept	Downton Abbey
497	187606	kept	Colosseum
498	187597	kept	Lord of the Flies
499	187513	kept	Back to the Future
500	187454	kept	Hermes
501	187345	kept	Desperate Housewives
502	186971	kept	Grand Theft Auto: Vice City
503	186904	kept	Alexandre Dumas
504	186738	kept	Gone with the Wind (film)
505	186716	kept	Spider-Man (2002 film)
506	186658	kept	Saturday Night Live
507	186441	kept	Greek mythology
508	186137	kept	Saturn Devouring His Son
509	185569	kept	The Big Lebowski
510	185486	kept	Pride and Prejudice
511	185162	kept	Socialism
512	184913	kept	How I Met Your Mother
513	184861	kept	E.T. the Extra-Terrestrial
514	184757	kept	Dante Alighieri
515	184574	kept	Wednesday (TV series)
516	184537	kept	Olympic Games
517	184535	kept	Bon Jovi
518	184442	kept	Green Day
519	184271	kept	Fred Astaire
520	183805	kept	Shrek
521	183692	kept	Scarface (1983 film)
522	183121	kept	Pokémon (video game series)
523	182660	kept	The Sixth Sense
524	182539	kept	Star Wars: The Force Awakens
525	182450	kept	Cyberpunk 2077
526	182334	kept	Virginia Woolf
527	182254	kept	The Lion King
528	181160	kept	Sex and the City
529	180786	kept	Salvador Dalí
530	180658	kept	Lost (TV series)
531	180167	kept	Ingrid Bergman
532	179976	kept	Ratatouille (film)
533	179035	kept	Artemis
534	178472	kept	Nintendo
535	178325	kept	300 (film)
536	178209	kept	Duran Duran
537	178005	kept	Chernobyl (miniseries)
538	177996	kept	Voynich manuscript
539	177550	kept	The Book of Mormon (musical)
540	176956	kept	Gabe Newell
541	176884	kept	Batman
542	176556	kept	Plato
543	176101	kept	Aphrodite
544	176066	kept	The Legend of Zelda: Ocarina of Time
545	175927	kept	Alien (film)
546	175811	kept	Vivien Leigh
547	175655	kept	Dr. Dre
548	175580	kept	Neuromancer
549	175541	kept	Danny Elfman
550	175422	kept	Sgt. Pepper's Lonely Hearts Club Band
551	175397	kept	Enya
552	175365	kept	Parks and Recreation
553	175344	kept	Pearl Jam
554	175259	kept	Pharrell Williams
555	174841	kept	Billboard Hot 100
556	174585	kept	A Clockwork Orange (film)
557	174499	kept	Community (TV series)
558	173999	kept	EGOT
559	173963	kept	Hatsune Miku
560	173551	kept	Neil Gaiman
561	173542	kept	The Wizard of Oz
562	173090	kept	Charles Dickens
563	172932	kept	Star Trek
564	172768	kept	Lolita
565	172683	kept	Avengers: Infinity War
566	172009	kept	Nintendo Switch
567	171970	kept	Django Unchained
568	171886	kept	The Crown (TV series)
569	171181	kept	The Godfather Part II
570	171100	kept	Hayao Miyazaki
571	170264	kept	Pikachu
572	169982	kept	Minority Report (film)
573	169929	kept	American Beauty (1999 film)
574	169585	kept	Bohemian Rhapsody (film)
575	169507	kept	Animal Farm
576	169472	kept	Come and See
577	168957	kept	Mary Shelley
578	168200	kept	East of Eden (novel)
579	168104	kept	Salman Rushdie
580	167070	kept	Dead Poets Society
581	166849	kept	The Sound of Music (film)
582	166827	kept	Bette Davis
583	166600	kept	Albert Camus
584	166368	kept	South Park
585	166029	kept	The Lord of the Rings: The Fellowship of the Ring
586	165636	kept	Krishna
587	165549	kept	David Foster Wallace
588	165332	kept	Leonard Cohen
589	165268	kept	The Hunger Games (film)
590	165210	kept	Hamlet
591	165013	kept	Westworld (TV series)
592	164845	kept	Ozark (TV series)
593	164106	kept	Scooby-Doo
594	163848	kept	Roger Waters
595	163381	kept	Shiva
596	163133	kept	White House
597	163031	kept	Coen brothers
598	163020	kept	Solomon
599	162802	kept	Death of a Salesman
600	162783	kept	There Will Be Blood
601	162769	kept	Superman
602	162633	kept	Arrested Development
603	162242	kept	Bluey (TV series)
604	161851	kept	Augustine of Hippo
605	161529	kept	Divine Comedy
606	161405	kept	U2
607	160996	kept	John Steinbeck
608	160948	kept	Disco
609	160935	kept	Chess
610	160772	kept	Moby-Dick
611	160714	kept	Palace of Versailles
612	160195	kept	To Kill a Mockingbird
613	160050	kept	Whiplash (2014 film)
614	159796	kept	Oldboy (2003 film)
615	159709	kept	Austin Powers
616	159309	kept	Daft Punk
617	159100	kept	Siren (mythology)
618	159057	kept	Peter Jackson
619	158985	kept	Ferris Bueller's Day Off
620	158645	kept	Guillermo del Toro
621	158582	kept	Sammy Davis Jr.
622	158565	kept	Isaac Asimov
623	158561	kept	Charlton Heston
624	158541	kept	Citizen Kane
625	158416	kept	Niccolò Machiavelli
626	158410	kept	New Order (band)
627	158344	kept	Trainspotting (film)
628	158051	kept	The Passion of the Christ
629	157494	kept	Squid Game
630	157311	kept	Dune (franchise)
631	157290	kept	Poseidon
632	156992	kept	Billie Jean
633	156789	kept	The Avengers (2012 film)
634	156787	kept	Heracles
635	156538	kept	30 Rock
636	156405	kept	Mad Max: Fury Road
637	156264	kept	Tomb Raider
638	156180	kept	Persephone
639	156026	kept	Seven Wonders of the Ancient World
640	155961	kept	Arthur Miller
641	155943	kept	Michelangelo
642	155877	kept	Fargo (1996 film)
643	155786	kept	Blink-182
644	155485	kept	Carlos Santana
645	155260	kept	Money Heist
646	155141	kept	The Wheel of Time
647	154998	kept	The Hunger Games
648	154846	kept	The Catcher in the Rye
649	154533	kept	Borat
650	154515	kept	Us (2019 film)
651	154148	kept	Final Fantasy VII
652	153777	kept	Dr. Seuss
653	153173	kept	The Starry Night
654	153048	kept	Nickelodeon
655	153018	kept	Sidney Poitier
656	152930	kept	Chuck Berry
657	152497	kept	Schrödinger's cat
658	152337	kept	The Exorcist
659	151830	kept	Kaaba
660	151827	kept	The Great Gatsby
661	151810	kept	Iron Man (2008 film)
662	151521	kept	Pirates of the Caribbean: The Curse of the Black Pearl
663	151405	kept	Moonlight (2016 film)
664	151333	kept	Grave of the Fireflies
665	151277	kept	Garth Brooks
666	151102	kept	The Revenant (2015 film)
667	150691	kept	Frankenstein
668	150480	kept	Marion Cotillard
669	150457	kept	Tom Waits
670	150400	kept	Sex Pistols
671	150261	kept	Elden Ring
672	150224	kept	Dionysus
673	150127	kept	Joker (2019 film)
674	149867	kept	Magna Carta
675	149775	kept	Truman Capote
676	149631	kept	The Who
677	149623	kept	Black Panther (film)
678	149534	kept	Hagia Sophia
679	149294	kept	Braveheart
680	149245	kept	Steel Magnolias
681	148940	kept	Eternal Sunshine of the Spotless Mind
682	148904	kept	Werner Herzog
683	148769	kept	Cast Away
